vinregex,year,makemodel,vinchar1,vinchar2,vinchar3,vinchar4,vinchar5,vinchar6,vinchar7,vinchar8,vinchar9,vinchar10,vinchar11,vinchar12,vinchar13,vinchar14,vinchar15,vinchar16,vinchar17,make,model
5TDKZRFH1KS555166,2019,TOYOTA HIGHLANDER SE,5,29,13,20,35,27,15,17,1,20,28,5,5,5,1,6,6,TOYOTA,HIGHLANDER
5XXGN4A70FG510536,2015,KIA OPTIMA EX,5,33,33,16,23,4,10,7,0,15,16,5,1,0,5,3,6,KIA,OPTIMA
WBAPK5G57BNN30489,2011,BMW 328 I XDRIVE,32,11,10,25,20,5,16,5,7,11,23,23,3,0,4,8,9,BMW,328
19XFC2F54JE041238,2018,HONDA CIVIC LX,1,9,33,15,12,2,15,5,4,19,14,0,4,1,2,3,8,HONDA,CIVIC
WBA3B3C57FF548760,2015,BMW 328 I XDRIVE,32,11,10,3,11,3,12,5,7,15,15,5,4,8,7,6,0,BMW,328
2LMPJ8LP6KBL16801,2019,LINCOLN NAUTILUS RESERVE,2,21,22,25,19,8,21,25,6,20,11,21,1,6,8,0,1,LINCOLN,NAUTILUS
1VWBT7A37HC070684,2017,VOLKSWAGEN PASSAT 18T SE,1,31,32,11,29,7,10,3,7,17,12,0,7,0,6,8,4,VOLKSWAGEN,PASSAT
5FRYD4H48FB022214,2015,ACURA MDX 35L TECHNOLOGY PACKAGE,5,15,27,34,13,4,17,4,8,15,11,0,2,2,2,1,4,ACURA,MDX
3FADP4BJ5GM143842,2016,FORD FIESTA SE,3,15,10,13,25,4,11,19,5,16,22,1,4,3,8,4,2,FORD,FIESTA
2FMPK3K94KBB09872,2019,FORD EDGE TITANIUM,2,15,22,25,20,3,20,9,4,20,11,11,0,9,8,7,2,FORD,EDGE
2HKRM4H4XGH611466,2016,HONDA CRV SE,2,17,20,27,22,4,17,4,33,16,17,6,1,1,4,6,6,HONDA,CRV
5N1AR2MM9FC702873,2015,NISSAN PATHFINDER PLATINUM,5,23,1,10,27,2,22,22,9,15,12,7,0,2,8,7,3,NISSAN,PATHFINDER
2T1BURHE5KC181445,2019,TOYOTA COROLLA SE,2,29,1,11,30,27,17,14,5,20,12,1,8,1,4,4,5,TOYOTA,COROLLA
JF2GTACC7KH247734,2019,SUBARU CROSSTREK 20I PREMIUM,19,15,2,16,29,10,12,12,7,20,17,2,4,7,7,3,4,SUBARU,CROSSTREK
ZARFAMBN5K7603033,2019,ALFAROMEO GIULIA TI,35,10,27,15,10,22,11,23,5,20,7,6,0,3,0,3,3,ALFAROMEO,GIULIA
KL4CJASBXKB741918,2019,BUICK ENCORE PREFERRED,20,21,4,12,19,10,28,11,33,20,11,7,4,1,9,1,8,BUICK,ENCORE
WBS3S7C57KAC09509,2019,BMW M4 CS,32,11,28,3,28,7,12,5,7,20,10,12,0,9,5,0,9,BMW,M4
1GYKNBRS3HZ176861,2017,CADILLAC XT5 LUXURY,1,16,34,20,23,11,27,28,3,17,35,1,7,6,8,6,1,CADILLAC,XT5
1GKKNLLA2JZ233475,2018,GMC ACADIA SLE2,1,16,20,20,23,21,21,10,2,19,35,2,3,3,4,7,5,GMC,ACADIA
5TDJZ3DC1HS166388,2017,TOYOTA SIENNA LE,5,29,13,19,35,3,13,12,1,17,28,1,6,6,3,8,8,TOYOTA,SIENNA
WBXHT3C3XGP888892,2016,BMW X1 XDRIVE 28I,32,11,33,17,29,3,12,3,33,16,25,8,8,8,8,9,2,BMW,X1
3GCUKSEC1JG550976,2018,CHEVROLET SILVERADO 1500 LTZ,3,16,12,30,20,28,14,12,1,19,16,5,5,0,9,7,6,CHEVROLET,SILVERADO
WBA3A5G50ENP29261,2014,BMW 328 I,32,11,10,3,10,5,16,5,0,14,23,25,2,9,2,6,1,BMW,328
19UDE2F7XGA013928,2016,ACURA ILX PREMIUM PACKAGE,1,9,30,13,14,2,15,7,33,16,10,0,1,3,9,2,8,ACURA,ILX
4S4BSANC0K3246507,2019,SUBARU OUTBACK 25I LIMITED,4,28,4,11,28,10,23,12,0,20,3,2,4,6,5,0,7,SUBARU,OUTBACK
3GCPCREC8HG124442,2017,CHEVROLET SILVERADO 1500 1LT,3,16,12,25,12,27,14,12,8,17,16,1,2,4,4,4,2,CHEVROLET,SILVERADO
1GTU9DED8KZ176318,2019,GMC SIERRA 1500 SLT,1,16,29,30,9,13,14,13,8,20,35,1,7,6,3,1,8,GMC,SIERRA
4T1B11HK1KU180162,2019,TOYOTA CAMRY SE,4,29,1,11,1,1,17,20,1,20,30,1,8,0,1,6,2,TOYOTA,CAMRY
5UXKR0C54JL077121,2018,BMW X5 XDRIVE35I,5,30,33,20,27,0,12,5,4,19,21,0,7,7,1,2,1,BMW,X5
JF2SKAUC8KH421211,2019,SUBARU FORESTER LIMITED,19,15,2,28,20,10,30,12,8,20,17,4,2,1,2,1,1,SUBARU,FORESTER
3FA6P0H76ER176149,2014,FORD FUSION SE,3,15,10,6,25,0,17,7,6,14,27,1,7,6,1,4,9,FORD,FUSION
4S4WMARD1K3436038,2019,SUBARU ASCENT TOURING 7PASSENGER,4,28,4,32,22,10,27,13,1,20,3,4,3,6,0,3,8,SUBARU,ASCENT
WMWXU1C59K2J01414,2019,MINI HARDTOP COOPER,32,22,32,33,30,1,12,5,9,20,2,19,0,1,4,1,4,MINI,HARDTOP
2T3WFREV0FW207929,2015,TOYOTA RAV4 XLE,2,29,3,32,15,27,14,31,0,15,32,2,0,7,9,2,9,TOYOTA,RAV4
3GNAXHEV2KS542660,2019,CHEVROLET EQUINOX LS,3,16,23,10,33,17,14,31,2,20,28,5,4,2,6,6,0,CHEVROLET,EQUINOX
1G4GB5G37EF102515,2014,BUICK LACROSSE LEATHER,1,16,4,16,11,5,16,3,7,14,15,1,0,2,5,1,5,BUICK,LACROSSE
1C4PJMLXXKD355653,2019,JEEP CHEROKEE LATITUDE PLUS,1,12,4,25,19,22,21,33,33,20,13,3,5,5,6,5,3,JEEP,CHEROKEE
LYV402FK2GB095521,2016,VOLVO S60 T5 DRIVEE PREMIER,21,34,31,4,0,2,15,20,2,16,11,0,9,5,5,2,1,VOLVO,S60
1C4HJXEG9KW527274,2019,JEEP WRANGLER SAHARA,1,12,4,17,19,33,14,16,9,20,32,5,2,7,2,7,4,JEEP,WRANGLER
4JGDA5HB7JB019177,2018,MERCEDESBENZ GLE 350 BASE 4MATIC,4,19,16,13,10,5,17,11,7,19,11,0,1,9,1,7,7,MERCEDESBENZ,GLE
ZACCJBCT3GPE06631,2016,JEEP RENEGADE TRAILHAWK,35,10,12,12,19,11,12,29,3,16,25,14,0,6,6,3,1,JEEP,RENEGADE
3KPC24A31KE057955,2019,HYUNDAI ACCENT SE,3,20,25,12,2,4,10,3,1,20,14,0,5,7,9,5,5,HYUNDAI,ACCENT
WA1C2AFP7HA096744,2017,AUDI Q5 20T PREMIUM,32,10,1,12,2,10,15,25,7,17,10,0,9,6,7,4,4,AUDI,Q5
JM3KE4DY3G0617069,2016,MAZDA CX5 GRAND TOURING,19,22,3,20,14,4,13,34,3,16,0,6,1,7,0,6,9,MAZDA,CX5
5N1AT2MV5KC712143,2019,NISSAN ROGUE SL,5,23,1,10,29,2,22,31,5,20,12,7,1,2,1,4,3,NISSAN,ROGUE
3MYDLBYV9KY504738,2019,TOYOTA YARIS SEDAN XLE,3,22,34,13,21,11,34,31,9,20,34,5,0,4,7,3,8,TOYOTA,YARIS
5N1AR2MM7FC693803,2015,NISSAN PATHFINDER SL,5,23,1,10,27,2,22,22,7,15,12,6,9,3,8,0,3,NISSAN,PATHFINDER
JF2SKACC9KH427875,2019,SUBARU FORESTER 25I TOURING,19,15,2,28,20,10,12,12,9,20,17,4,2,7,8,7,5,SUBARU,FORESTER
ZACCJBBT4GPD37014,2016,JEEP RENEGADE 4WD 4DR 75TH ANNIVERSARY,35,10,12,12,19,11,11,29,4,16,25,13,3,7,0,1,4,JEEP,RENEGADE
4T4BF1FK0GR561390,2016,TOYOTA CAMRY LE,4,29,4,11,15,1,15,20,0,16,27,5,6,1,3,9,0,TOYOTA,CAMRY
5NPD84LF2JH364801,2018,HYUNDAI ELANTRA SEL,5,23,25,13,8,4,21,15,2,19,17,3,6,4,8,0,1,HYUNDAI,ELANTRA
1C4RJFAG7GC347793,2016,JEEP GRAND CHEROKEE LAREDO,1,12,4,27,19,15,10,16,7,16,12,3,4,7,7,9,3,JEEP,GRAND
3TMCZ5AN6KM198223,2019,TOYOTA TACOMA TRD OFF ROAD,3,29,22,12,35,5,10,23,6,20,22,1,9,8,2,2,3,TOYOTA,TACOMA
3GNCJKSB9KL220867,2019,CHEVROLET TRAX LS,3,16,23,12,19,20,28,11,9,20,21,2,2,0,8,6,7,CHEVROLET,TRAX
4S4BSATCXJ3393693,2018,SUBARU OUTBACK TOURING,4,28,4,11,28,10,29,12,33,19,3,3,9,3,6,9,3,SUBARU,OUTBACK
KM8J3CAL5KU839526,2019,HYUNDAI TUCSON SPORT,20,22,8,19,3,12,10,21,5,20,30,8,3,9,5,2,6,HYUNDAI,TUCSON
JTMRFREV3JJ747862,2018,TOYOTA RAV4 XLE,19,29,22,27,15,27,14,31,3,19,19,7,4,7,8,6,2,TOYOTA,RAV4
WD4PG2EE3K3531761,2019,MERCEDESBENZ METRIS BASE,32,13,4,25,16,2,14,14,3,20,3,5,3,1,7,6,1,MERCEDESBENZ,METRIS
JTNK4RBE6K3020826,2019,TOYOTA COROLLA HATCHBACK,19,29,23,20,4,27,11,14,6,20,3,0,2,0,8,2,6,TOYOTA,COROLLA
4T1B11HK8KU700115,2019,TOYOTA CAMRY LE,4,29,1,11,1,1,17,20,8,20,30,7,0,0,1,1,5,TOYOTA,CAMRY
WDDHF8JB0GB235745,2016,MERCEDESBENZ E 350 4MATIC,32,13,13,17,15,8,19,11,0,16,11,2,3,5,7,4,5,MERCEDESBENZ,E
MAJ6S3GL9KC252021,2019,FORD ECOSPORT SE,22,10,19,6,28,3,16,21,9,20,12,2,5,2,0,2,1,FORD,ECOSPORT
3GTU2NEJ5JG604571,2018,GMC SIERRA 1500 SLT,3,16,29,30,2,23,14,19,5,19,16,6,0,4,5,7,1,GMC,SIERRA
1FTEW1EG0JKF73664,2018,FORD F150 LARIAT,1,15,29,14,32,1,14,16,0,19,20,15,7,3,6,6,4,FORD,F150
1GCHTCEN8J1102092,2018,CHEVROLET COLORADO LT EXTENDED CAB,1,16,12,17,29,12,14,23,8,19,1,1,0,2,0,9,2,CHEVROLET,COLORADO
1N6AD0EV3GN904996,2016,NISSAN FRONTIER SV,1,23,6,10,13,0,14,31,3,16,23,9,0,4,9,9,6,NISSAN,FRONTIER
WAUCFAFRXBA044783,2011,AUDI A5 20T QUATTRO,32,10,30,12,15,10,15,27,33,11,10,0,4,4,7,8,3,AUDI,A5
1GNERHKW9KJ178425,2019,CHEVROLET TRAVERSE LT LEATHER,1,16,23,14,27,17,20,32,9,20,19,1,7,8,4,2,5,CHEVROLET,TRAVERSE
1C4PJMLX2KD359969,2019,JEEP CHEROKEE LATITUDE PLUS,1,12,4,25,19,22,21,33,2,20,13,3,5,9,9,6,9,JEEP,CHEROKEE
2C3CDZBG5FH759056,2015,DODGE CHALLENGER SXT PLUS,2,12,3,12,13,35,11,16,5,15,17,7,5,9,0,5,6,DODGE,CHALLENGER
KM8J3CAL2KU839273,2019,HYUNDAI TUCSON ULTIMATE,20,22,8,19,3,12,10,21,2,20,30,8,3,9,2,7,3,HYUNDAI,TUCSON
5UXCR6C59KLK81261,2019,BMW X5 XDRIVE40I,5,30,33,12,27,6,12,5,9,20,21,20,8,1,2,6,1,BMW,X5
1GYS4DKJ6KR198781,2019,CADILLAC ESCALADE PLATINUM,1,16,34,28,4,13,20,19,6,20,27,1,9,8,7,8,1,CADILLAC,ESCALADE
3MZBN1W3XJM261746,2018,MAZDA MAZDA3 GRAND TOURING,3,22,35,11,23,1,32,3,33,19,22,2,6,1,7,4,6,MAZDA,MAZDA3
1GTU9DED3KZ155067,2019,GMC SIERRA 1500 SLT,1,16,29,30,9,13,14,13,3,20,35,1,5,5,0,6,7,GMC,SIERRA
2FMPK4K97KBB04252,2019,FORD EDGE TITANIUM,2,15,22,25,20,4,20,9,7,20,11,11,0,4,2,5,2,FORD,EDGE
5FNYF6H63KB035794,2019,HONDA PILOT TOURING 8PASSENGER,5,15,23,34,15,6,17,6,3,20,11,0,3,5,7,9,4,HONDA,PILOT
1GNALBEK8EZ133679,2014,CHEVROLET EQUINOX 1LT,1,16,23,10,21,11,14,20,8,14,35,1,3,3,6,7,9,CHEVROLET,EQUINOX
2T1BURHE9KC193761,2019,TOYOTA COROLLA LE,2,29,1,11,30,27,17,14,9,20,12,1,9,3,7,6,1,TOYOTA,COROLLA
3FAHP0JA2CR348737,2012,FORD FUSION SEL,3,15,10,17,25,0,19,10,2,12,27,3,4,8,7,3,7,FORD,FUSION
JA4AD2A35HZ020758,2017,MITSUBISHI OUTLANDER ES,19,10,4,10,13,2,10,3,5,17,35,0,2,0,7,5,8,MITSUBISHI,OUTLANDER
4S4BSAFC2K3256857,2019,SUBARU OUTBACK 25I,4,28,4,11,28,10,15,12,2,20,3,2,5,6,8,5,7,SUBARU,OUTBACK
1G1YF2D78E5106221,2014,CHEVROLET CORVETTE STINGRAY BASE,1,16,1,34,15,2,13,7,8,14,5,1,0,6,2,2,1,CHEVROLET,CORVETTE
1GT12SEY3KF155828,2019,GMC SIERRA 2500 DENALI,1,16,29,1,2,28,14,34,3,20,15,1,5,5,8,2,8,GMC,SIERRA
5N1AT2MT6KC724168,2019,NISSAN ROGUE SV,5,23,1,10,29,2,22,29,6,20,12,7,2,4,1,6,8,NISSAN,ROGUE
1GCGG25C591139492,2009,CHEVROLET EXPRESS 2500 CARGO,1,16,12,16,16,2,5,12,5,9,1,1,3,9,4,9,2,CHEVROLET,EXPRESS
1C6SRFBT1KN719215,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,11,29,1,20,23,7,1,9,2,1,5,RAM,1500
LRBFXCSA6KD026691,2019,BUICK ENVISION ESSENCE,21,27,11,15,33,12,28,10,6,20,13,0,2,6,6,9,1,BUICK,ENVISION
3N1CE2CP1JL362218,2018,NISSAN VERSA NOTE SV,3,23,1,12,14,2,12,25,1,19,21,3,6,2,2,1,8,NISSAN,VERSA
1N4AA6AP4HC418271,2017,NISSAN MAXIMA 35 SV,1,23,4,10,10,6,10,25,4,17,12,4,1,8,2,7,1,NISSAN,MAXIMA
1C4PJMLX0KD359971,2019,JEEP CHEROKEE LATITUDE PLUS,1,12,4,25,19,22,21,33,0,20,13,3,5,9,9,7,1,JEEP,CHEROKEE
1GB2CVCG1DZ340656,2013,CHEVROLET SILVERADO 2500 WORK TRUCK,1,16,11,2,12,31,12,16,1,13,35,3,4,0,6,5,6,CHEVROLET,SILVERADO
2T2BK1BA4BC084679,2011,LEXUS RX 350 BASE,2,29,2,11,20,1,11,10,4,11,12,0,8,4,6,7,9,LEXUS,RX
KNAFT4A2XD5723370,2013,KIA FORTE LX,20,23,10,15,29,4,10,2,33,13,5,7,2,3,3,7,0,KIA,FORTE
3VV4B7AX3JM221432,2018,VOLKSWAGEN TIGUAN 20T SEL PREMIUM,3,31,31,4,11,7,10,33,3,19,22,2,2,1,4,3,2,VOLKSWAGEN,TIGUAN
5GAKRAKDXEJ303956,2014,BUICK ENCLAVE CONVENIENCE,5,16,10,20,27,10,20,13,33,14,19,3,0,3,9,5,6,BUICK,ENCLAVE
1GYS4BKJ6KR194749,2019,CADILLAC ESCALADE LUXURY,1,16,34,28,4,11,20,19,6,20,27,1,9,4,7,4,9,CADILLAC,ESCALADE
1GCRYEED1KZ171573,2019,CHEVROLET SILVERADO 1500 RST,1,16,12,27,34,14,14,13,1,20,35,1,7,1,5,7,3,CHEVROLET,SILVERADO
4JGDA5HB3GA699254,2016,MERCEDESBENZ GLE 350 4MATIC,4,19,16,13,10,5,17,11,3,16,10,6,9,9,2,5,4,MERCEDESBENZ,GLE
1C6SRFJT0KN643035,2019,RAM 1500 LARAMIE,1,12,6,28,27,15,19,29,0,20,23,6,4,3,0,3,5,RAM,1500
2GNAXHEV0K6177135,2019,CHEVROLET EQUINOX LS,2,16,23,10,33,17,14,31,0,20,6,1,7,7,1,3,5,CHEVROLET,EQUINOX
1FADP3E26JL229300,2018,FORD FOCUS S,1,15,10,13,25,3,14,2,6,19,21,2,2,9,3,0,0,FORD,FOCUS
WA1LGAFE7ED018748,2014,AUDI Q7 30T PREMIUM PLUS,32,10,1,21,16,10,15,14,7,14,13,0,1,8,7,4,8,AUDI,Q7
1HGCV1F43JA267189,2018,HONDA ACCORD EX,1,17,16,12,31,1,15,4,3,19,10,2,6,7,1,8,9,HONDA,ACCORD
WDD2J5KB6KA008303,2019,MERCEDESBENZ CLS 450 BASE,32,13,13,2,19,5,20,11,6,20,10,0,0,8,3,0,3,MERCEDESBENZ,CLS
1C6SRFMT0KN719235,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,22,29,0,20,23,7,1,9,2,3,5,RAM,1500
SALGR2PFXGA287886,2016,LANDROVER RANGE ROVER 4WD 4DR,28,10,21,16,27,2,25,15,33,16,10,2,8,7,8,8,6,LANDROVER,RANGE
KM8K12AA5KU225269,2019,HYUNDAI KONA SE,20,22,8,20,1,2,10,10,5,20,30,2,2,5,2,6,9,HYUNDAI,KONA
5UXTR7C56KLF31533,2019,BMW X3 SDRIVE30I,5,30,33,29,27,7,12,5,6,20,21,15,3,1,5,3,3,BMW,X3
19XFB2F99FE081215,2015,HONDA CIVIC EXL,1,9,33,15,11,2,15,9,9,15,14,0,8,1,2,1,5,HONDA,CIVIC
1GCRYCEF7KZ175536,2019,CHEVROLET SILVERADO 1500 CUSTOM TRAIL BOSS,1,16,12,27,34,12,14,15,7,20,35,1,7,5,5,3,6,CHEVROLET,SILVERADO
WBA8E1C50JA758849,2018,BMW 330E IPERFORMANCE,32,11,10,8,14,1,12,5,0,19,10,7,5,8,8,4,9,BMW,330E
3N1AB7AP0KY248182,2019,NISSAN SENTRA SV,3,23,1,10,11,7,10,25,0,20,34,2,4,8,1,8,2,NISSAN,SENTRA
3GNAXKEV5KS542553,2019,CHEVROLET EQUINOX LT,3,16,23,10,33,20,14,31,5,20,28,5,4,2,5,5,3,CHEVROLET,EQUINOX
5TDYY5G15KS072612,2019,TOYOTA SEQUOIA PLATINUM,5,29,13,34,34,5,16,1,5,20,28,0,7,2,6,1,2,TOYOTA,SEQUOIA
1C4PJMLX4KD355650,2019,JEEP CHEROKEE LATITUDE PLUS,1,12,4,25,19,22,21,33,4,20,13,3,5,5,6,5,0,JEEP,CHEROKEE
1C4BJWDG5GL262833,2016,JEEP WRANGLER UNLIMITED SPORT,1,12,4,11,19,32,13,16,5,16,21,2,6,2,8,3,3,JEEP,WRANGLER
3N1AB7AP8DL733718,2013,NISSAN SENTRA FE SV,3,23,1,10,11,7,10,25,8,13,21,7,3,3,7,1,8,NISSAN,SENTRA
1N4AL3AP8FC578160,2015,NISSAN ALTIMA 25 S,1,23,4,10,21,3,10,25,8,15,12,5,7,8,1,6,0,NISSAN,ALTIMA
1GTU9FEL0KZ116620,2019,GMC SIERRA 1500 DENALI,1,16,29,30,9,15,14,21,0,20,35,1,1,6,6,2,0,GMC,SIERRA
1GCVKREC6JZ194604,2018,CHEVROLET SILVERADO 1500 1LT,1,16,12,31,20,27,14,12,6,19,35,1,9,4,6,0,4,CHEVROLET,SILVERADO
1GKKNULS2KZ169602,2019,GMC ACADIA SLT1,1,16,20,20,23,30,21,28,2,20,35,1,6,9,6,0,2,GMC,ACADIA
3GNAXUEV3KL191907,2019,CHEVROLET EQUINOX LT,3,16,23,10,33,30,14,31,3,20,21,1,9,1,9,0,7,CHEVROLET,EQUINOX
1N4AL3AP4HC266789,2017,NISSAN ALTIMA 25 SV,1,23,4,10,21,3,10,25,4,17,12,2,6,6,7,8,9,NISSAN,ALTIMA
5TDJZRFH3KS569517,2019,TOYOTA HIGHLANDER XLE,5,29,13,19,35,27,15,17,3,20,28,5,6,9,5,1,7,TOYOTA,HIGHLANDER
2T3JFREV0GW519177,2016,TOYOTA RAV4 SE,2,29,3,19,15,27,14,31,0,16,32,5,1,9,1,7,7,TOYOTA,RAV4
SALWR2RV0KA418817,2019,LANDROVER RANGE ROVER SPORT 30L SUPERCHARGED SE,28,10,21,32,27,2,27,31,0,20,10,4,1,8,8,1,7,LANDROVER,RANGE
4S3BNAB69K3012781,2019,SUBARU LEGACY 25I,4,28,3,11,23,10,11,6,9,20,3,0,1,2,7,8,1,SUBARU,LEGACY
4T1BF1FK6GU524872,2016,TOYOTA CAMRY SE WSPECIAL EDITION PKG,4,29,1,11,15,1,15,20,6,16,30,5,2,4,8,7,2,TOYOTA,CAMRY
3FAHP0HA3AR335868,2010,FORD FUSION SE,3,15,10,17,25,0,17,10,3,10,27,3,3,5,8,6,8,FORD,FUSION
1C4RJFBG9FC149175,2015,JEEP GRAND CHEROKEE LIMITED,1,12,4,27,19,15,11,16,9,15,12,1,4,9,1,7,5,JEEP,GRAND
1G11H5SA6DF305840,2013,CHEVROLET MALIBU 1LZ,1,16,1,1,17,5,28,10,6,13,15,3,0,5,8,4,0,CHEVROLET,MALIBU
JF2SJADC8GH563956,2016,SUBARU FORESTER 25I PREMIUM,19,15,2,28,19,10,13,12,8,16,17,5,6,3,9,5,6,SUBARU,FORESTER
2FMPK3K81JBB87225,2018,FORD EDGE TITANIUM,2,15,22,25,20,3,20,8,1,19,11,11,8,7,2,2,5,FORD,EDGE
3FA6P0H72ER354817,2014,FORD FUSION SE,3,15,10,6,25,0,17,7,2,14,27,3,5,4,8,1,7,FORD,FUSION
3FA6P0HD0FR255548,2015,FORD FUSION SE,3,15,10,6,25,0,17,13,0,15,27,2,5,5,5,4,8,FORD,FUSION
KNDPM3AC8J7444006,2018,KIA SPORTAGE LX,20,23,13,25,22,3,10,12,8,19,7,4,4,4,0,0,6,KIA,SPORTAGE
1HGCV1F58KA003850,2019,HONDA ACCORD EXL,1,17,16,12,31,1,15,5,8,20,10,0,0,3,8,5,0,HONDA,ACCORD
JTMBFREV0JJ255677,2018,TOYOTA RAV4 LE,19,29,22,11,15,27,14,31,0,19,19,2,5,5,6,7,7,TOYOTA,RAV4
2G1105S30H9157921,2017,CHEVROLET IMPALA 1LT,2,16,1,1,0,5,28,3,0,17,9,1,5,7,9,2,1,CHEVROLET,IMPALA
1HGCR2F36FA275490,2015,HONDA ACCORD LX,1,17,16,12,27,2,15,3,6,15,10,2,7,5,4,9,0,HONDA,ACCORD
1GCNKNEH3GZ414813,2016,CHEVROLET SILVERADO 1500 LWB 4WD REG CAB PICKUP,1,16,12,23,20,23,14,17,3,16,35,4,1,4,8,1,3,CHEVROLET,SILVERADO
5N1AR2MN2FC670325,2015,NISSAN PATHFINDER S,5,23,1,10,27,2,22,23,2,15,12,6,7,0,3,2,5,NISSAN,PATHFINDER
ZACCJABB4JPJ36915,2018,JEEP RENEGADE LATITUDE,35,10,12,12,19,10,11,11,4,19,25,19,3,6,9,1,5,JEEP,RENEGADE
3GTU2NEC9JG576906,2018,GMC SIERRA 1500 SLT,3,16,29,30,2,23,14,12,9,19,16,5,7,6,9,0,6,GMC,SIERRA
5TDKZRFH5KS297315,2019,TOYOTA HIGHLANDER XLE,5,29,13,20,35,27,15,17,5,20,28,2,9,7,3,1,5,TOYOTA,HIGHLANDER
3VWLL7AJXCM384453,2012,VOLKSWAGEN JETTA TDI,3,31,32,21,21,7,10,19,33,12,22,3,8,4,4,5,3,VOLKSWAGEN,JETTA
5UXKU6C51H0S99595,2017,BMW X6 XDRIVE50I,5,30,33,20,30,6,12,5,1,17,0,28,9,9,5,9,5,BMW,X6
1FMCU0GD5JUD30958,2018,FORD ESCAPE SE,1,15,22,12,30,0,16,13,5,19,30,13,3,0,9,5,8,FORD,ESCAPE
1C4HJXDG9JW203631,2018,JEEP WRANGLER UNLIMITED SPORT,1,12,4,17,19,33,13,16,9,19,32,2,0,3,6,3,1,JEEP,WRANGLER
WBXYJ5C3XJEF81407,2018,BMW X2 XDRIVE28I,32,11,33,34,19,5,12,3,33,19,14,15,8,1,4,0,7,BMW,X2
1GCRCREC9HZ264492,2017,CHEVROLET SILVERADO 1500 SWB 2WD DOUBLE CAB PICKUP,1,16,12,27,12,27,14,12,9,17,35,2,6,4,4,9,2,CHEVROLET,SILVERADO
2T3RFREV9JW849541,2018,TOYOTA RAV4 XLE,2,29,3,27,15,27,14,31,9,19,32,8,4,9,5,4,1,TOYOTA,RAV4
2C3CDZAG2KH529194,2019,DODGE CHALLENGER SXT,2,12,3,12,13,35,10,16,2,20,17,5,2,9,1,9,4,DODGE,CHALLENGER
5NPE24AF6HH530756,2017,HYUNDAI SONATA BASE,5,23,25,14,2,4,10,15,6,17,17,5,3,0,7,5,6,HYUNDAI,SONATA
WBA8A3C55JA505713,2018,BMW 320 I XDRIVE,32,11,10,8,10,3,12,5,5,19,10,5,0,5,7,1,3,BMW,320
3MZBN1L39JM260978,2018,MAZDA MAZDA3 TOURING,3,22,35,11,23,1,21,3,9,19,22,2,6,0,9,7,8,MAZDA,MAZDA3
2T3RFREVXJW847992,2018,TOYOTA RAV4 XLE,2,29,3,27,15,27,14,31,33,19,32,8,4,7,9,9,2,TOYOTA,RAV4
WF0DP3TH2H4124434,2017,FORD FOCUS RS,32,15,0,13,25,3,29,17,2,17,4,1,2,4,4,3,4,FORD,FOCUS
SALGS2SV4KA529955,2019,LANDROVER RANGE ROVER HSE,28,10,21,16,28,2,28,31,4,20,10,5,2,9,9,5,5,LANDROVER,RANGE
JTDKN3DU7F1912992,2015,TOYOTA PRIUS FIVE,19,29,13,20,23,3,13,30,7,15,1,9,1,2,9,9,2,TOYOTA,PRIUS
2T3RFREV1JW848433,2018,TOYOTA RAV4 XLE,2,29,3,27,15,27,14,31,1,19,32,8,4,8,4,3,3,TOYOTA,RAV4
JTMDFREV7JJ258729,2018,TOYOTA RAV4 LIMITED,19,29,22,13,15,27,14,31,7,19,19,2,5,8,7,2,9,TOYOTA,RAV4
SHHFK7H69KU200528,2019,HONDA CIVIC EX,28,17,17,15,20,7,17,6,9,20,30,2,0,0,5,2,8,HONDA,CIVIC
2C3CDZBT1GH149301,2016,DODGE CHALLENGER RT PLUS,2,12,3,12,13,35,11,29,1,16,17,1,4,9,3,0,1,DODGE,CHALLENGER
5XYKTDA2XDG404088,2013,KIA SORENTO LX V6,5,33,34,20,29,13,10,2,33,13,16,4,0,4,0,8,8,KIA,SORENTO
4S4WMAHD2K3434591,2019,SUBARU ASCENT PREMIUM 7PASSENGER,4,28,4,32,22,10,17,13,2,20,3,4,3,4,5,9,1,SUBARU,ASCENT
KMHCT4AE3HU182623,2017,HYUNDAI ACCENT SE,20,22,17,12,29,4,10,14,3,17,30,1,8,2,6,2,3,HYUNDAI,ACCENT
4JGDF6EE1KB222508,2019,MERCEDESBENZ GLS 450 BASE 4MATIC,4,19,16,13,15,6,14,14,1,20,11,2,2,2,5,0,8,MERCEDESBENZ,GLS
5YFBURHE6GP439916,2016,TOYOTA COROLLA LE,5,34,15,11,30,27,17,14,6,16,25,4,3,9,9,1,6,TOYOTA,COROLLA
2C3CDXDT1EH296460,2014,DODGE CHARGER RT,2,12,3,12,13,33,13,29,1,14,17,2,9,6,4,6,0,DODGE,CHARGER
1FTMF1CB4JKF69037,2018,FORD F150 XL,1,15,29,22,15,1,12,11,4,19,20,15,6,9,0,3,7,FORD,F150
JTNK4RBE7K3004490,2019,TOYOTA COROLLA SE,19,29,23,20,4,27,11,14,7,20,3,0,0,4,4,9,0,TOYOTA,COROLLA
5LMCJ2D94KUL20540,2019,LINCOLN MKC SELECT,5,21,22,12,19,2,13,9,4,20,30,21,2,0,5,4,0,LINCOLN,MKC
